,job_type,avg_dollar_amount,location_overall
2,data_analysis,142.5,DC
20,data_analysis,95.5,DC
27,data_analysis,120.0,DC
29,data_analysis,181.5,DC
32,data_analysis,114.5,DC
35,data_analysis,115.5,DC
5,data_science,119.5,DC
9,data_science,62.5,DC
12,data_science,152.5,DC
15,data_science,152.5,DC
20,data_science,119.5,DC
21,data_science,148.5,DC
22,data_science,113.0,DC
23,data_science,150.0,DC
24,data_science,350.0,DC
25,data_science,119.5,DC
28,data_science,125.0,DC
29,data_science,119.5,DC
31,data_science,62.5,DC
33,data_science,163.5,DC
36,data_science,119.5,DC
39,data_science,122.5,DC
5,machine_learning,152.5,DC
12,machine_learning,236.0,DC
14,machine_learning,145.5,DC
16,machine_learning,225.5,DC
17,machine_learning,122.5,DC
21,machine_learning,150.0,DC
24,machine_learning,150.0,DC
25,machine_learning,199.5,DC
26,machine_learning,196.0,DC
27,machine_learning,186.0,DC
28,machine_learning,265.5,DC
29,machine_learning,245.0,DC
30,machine_learning,175.0,DC
32,machine_learning,192.5,DC
33,machine_learning,105.0,DC
36,machine_learning,186.0,DC
37,machine_learning,133.5,DC
39,machine_learning,90.0,DC
0,data_analysis,59.5,USA
2,data_analysis,120.0,USA
20,data_analysis,113.0,USA
24,data_analysis,75.0,USA
25,data_analysis,160.0,USA
31,data_analysis,102.5,USA
42,data_analysis,78.0,USA
43,data_analysis,85.5,USA
45,data_analysis,129.0,USA
48,data_analysis,100.0,USA
49,data_analysis,65.0,USA
0,data_science,124.0,USA
4,data_science,152.0,USA
7,data_science,112.5,USA
8,data_science,121.0,USA
9,data_science,229.0,USA
12,data_science,119.5,USA
14,data_science,117.5,USA
16,data_science,114.0,USA
23,data_science,220.0,USA
26,data_science,135.0,USA
29,data_science,179.5,USA
32,data_science,136.5,USA
33,data_science,121.0,USA
34,data_science,86.0,USA
36,data_science,229.0,USA
40,data_science,156.0,USA
41,data_science,173.5,USA
45,data_science,96.5,USA
49,data_science,111.5,USA
0,machine_learning,205.0,USA
1,machine_learning,196.0,USA
2,machine_learning,286.0,USA
3,machine_learning,207.0,USA
4,machine_learning,324.5,USA
6,machine_learning,245.0,USA
7,machine_learning,192.5,USA
8,machine_learning,199.5,USA
9,machine_learning,207.0,USA
11,machine_learning,222.0,USA
24,machine_learning,130.0,USA
25,machine_learning,152.5,USA
27,machine_learning,159.0,USA
28,machine_learning,174.0,USA
30,machine_learning,117.0,USA
33,machine_learning,205.0,USA
34,machine_learning,196.0,USA
38,machine_learning,133.5,USA
47,machine_learning,257.0,USA
